Draft:	SECOND DRAFT	Character:	SECOND OFFICER
Draft:	SECOND DRAFT	Character:	THE STARKILLER (CONT'D)
Draft:	SECOND DRAFT	Character:	THE STARKlLLER (CONT'D)
Draft:	SECOND DRAFT	Character:	CREWMAN
Draft:	SECOND DRAFT	Character:	BOMA SIX (INTERCOM)
Draft:	SECOND DRAFT	Character:	PILOT LEADER
Draft:	SECOND DRAFT	Character:	PILOT LEADER (V.O.)
Draft:	SECOND DRAFT	Character:	BOMA TWO (CHEWIE)(V.O.)
Draft:	SECOND DRAFT	Character:	BOMA SIX (V.O.)
Draft:	SECOND DRAFT	Character:	BOMA TWO (V.O.)
Draft:	SECOND DRAFT	Character:	BOMA FIVE (V.O.)
Draft:	SECOND DRAFT	Character:	DEVIL FOUR (V.O.)
Draft:	SECOND DRAFT	Character:	PILOT LEADER (CONT'D)
Draft:	SECOND DRAFT	Character:	BOMA THREE
Draft:	SECOND DRAFT	Character:	BOMA TWO (CHEWIE)
Draft:	SECOND DRAFT	Character:	DODONA
Draft:	SECOND DRAFT	Character:	ZAVOS
Draft:	SECOND DRAFT	Character:	BANTA ONE
Draft:	SECOND DRAFT	Character:	LUKE (V.O.)
Draft:	Rough Draft [First of four major screenplay drafts] Lucasfilm Ltd.	Character:	ANNIKIN
Draft:	Rough Draft [First of four major screenplay drafts] Lucasfilm Ltd.	Character:	KANE
Draft:	Rough Draft [First of four major screenplay drafts] Lucasfilm Ltd.	Character:	DEAK
Draft:	Rough Draft [First of four major screenplay drafts] Lucasfilm Ltd.	Character:	DEAK (Con't)
Draft:	Rough Draft [First of four major screenplay drafts] Lucasfilm Ltd.	Character:	ANNIKIN (con't)
Draft:	Rough Draft [First of four major screenplay drafts] Lucasfilm Ltd.	Character:	PILOT
Draft:	Rough Draft [First of four major screenplay drafts] Lucasfilm Ltd.	Character:	CHICK-ONE
Draft:	Rough Draft [First of four major screenplay drafts] Lucasfilm Ltd.	Character:	EMPEROR
Draft:	Rough Draft [First of four major screenplay drafts] Lucasfilm Ltd.	Character:	EMPEROR (con't)
Draft:	Rough Draft [First of four major screenplay drafts] Lucasfilm Ltd.	Character:	WHITSUN
Draft:	Rough Draft [First of four major screenplay drafts] Lucasfilm Ltd.	Character:	WHITSUN (con't)
Draft:	Rough Draft [First of four major screenplay drafts] Lucasfilm Ltd.	Character:	ANTILLES
Draft:	Rough Draft [First of four major screenplay drafts] Lucasfilm Ltd.	Character:	CONTROLLER
Draft:	Rough Draft [First of four major screenplay drafts] Lucasfilm Ltd.	Character:	OFFICER
Draft:	Rough Draft [First of four major screenplay drafts] Lucasfilm Ltd.	Character:	HOEDAACK
Draft:	Rough Draft [First of four major screenplay drafts] Lucasfilm Ltd.	Character:	COLL
Draft:	Rough Draft [First of four major screenplay drafts] Lucasfilm Ltd.	Character:	VADER
